Geometry,Number of Records,Population,REGION,Suburb
MULTIPOLYGON,1,23,Metropolitan Region,Narre Warren
MULTIPOLYGON,1,0,Metropolitan Region,Narre Warren East
MULTIPOLYGON,1,3,Metropolitan Region,Narre Warren North
MULTIPOLYGON,1,27,Metropolitan Region,Narre Warren South
MULTIPOLYGON,1,14,Metropolitan Region,Newport (Vic.)
MULTIPOLYGON,1,3,Metropolitan Region,Niddrie
MULTIPOLYGON,1,80,Metropolitan Region,Noble Park
MULTIPOLYGON,1,7,Metropolitan Region,Noble Park North
MULTIPOLYGON,1,0,Metropolitan Region,Noojee
MULTIPOLYGON,1,1120,Metropolitan Region,North Melbourne
MULTIPOLYGON,1,0,Metropolitan Region,North Warrandyte
MULTIPOLYGON,1,59,Metropolitan Region,Northcote
MULTIPOLYGON,1,272,Metropolitan Region,Notting Hill
MULTIPOLYGON,1,89,Metropolitan Region,Nunawading
MULTIPOLYGON,1,0,Metropolitan Region,Nutfield
MULTIPOLYGON,1,0,Metropolitan Region,Nyora (Vic.)
MULTIPOLYGON,1,27,Metropolitan Region,Oak Park
MULTIPOLYGON,1,0,Metropolitan Region,Oaklands Junction
MULTIPOLYGON,1,144,Metropolitan Region,Oakleigh
MULTIPOLYGON,1,296,Metropolitan Region,Oakleigh East
MULTIPOLYGON,1,89,Metropolitan Region,Oakleigh South
MULTIPOLYGON,1,4,Metropolitan Region,Officer
MULTIPOLYGON,1,0,Metropolitan Region,Officer South
MULTIPOLYGON,1,0,Metropolitan Region,Olinda (Vic.)
MULTIPOLYGON,1,135,Metropolitan Region,Ormond
MULTIPOLYGON,1,18,Metropolitan Region,Pakenham
MULTIPOLYGON,1,0,Metropolitan Region,Pakenham South
MULTIPOLYGON,1,0,Metropolitan Region,Pakenham Upper
MULTIPOLYGON,1,0,Metropolitan Region,Panton Hill
MULTIPOLYGON,1,7,Metropolitan Region,Park Orchards
MULTIPOLYGON,1,93,Metropolitan Region,Parkdale
MULTIPOLYGON,1,229,Metropolitan Region,Parkville (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Parwan
MULTIPOLYGON,1,20,Metropolitan Region,Pascoe Vale
MULTIPOLYGON,1,13,Metropolitan Region,Pascoe Vale South
MULTIPOLYGON,1,11,Metropolitan Region,Patterson Lakes
MULTIPOLYGON,1,0,Metropolitan Region,Pearcedale
MULTIPOLYGON,1,0,Metropolitan Region,Pheasant Creek (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Plenty (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Plumpton (Vic.)
MULTIPOLYGON,1,296,Metropolitan Region,Point Cook
MULTIPOLYGON,1,0,Metropolitan Region,Point Leo
MULTIPOLYGON,1,0,Metropolitan Region,Point Wilson
MULTIPOLYGON,1,16,Metropolitan Region,Port Melbourne
MULTIPOLYGON,1,0,Metropolitan Region,Portsea
MULTIPOLYGON,1,0,Metropolitan Region,Powelltown
MULTIPOLYGON,1,49,Metropolitan Region,Prahran
MULTIPOLYGON,1,211,Metropolitan Region,Preston (Vic.)
MULTIPOLYGON,1,12,Metropolitan Region,Princes Hill
MULTIPOLYGON,1,0,Metropolitan Region,Quandong
MULTIPOLYGON,1,3,Metropolitan Region,Ravenhall
MULTIPOLYGON,1,0,Metropolitan Region,Red Hill (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Red Hill South
MULTIPOLYGON,1,0,Metropolitan Region,Reefton (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Research
MULTIPOLYGON,1,199,Metropolitan Region,Reservoir (Vic.)
MULTIPOLYGON,1,75,Metropolitan Region,Richmond (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Riddells Creek
MULTIPOLYGON,1,85,Metropolitan Region,Ringwood (Vic.)
MULTIPOLYGON,1,55,Metropolitan Region,Ringwood East
MULTIPOLYGON,1,17,Metropolitan Region,Ringwood North
MULTIPOLYGON,1,6,Metropolitan Region,Ripponlea
MULTIPOLYGON,1,0,Metropolitan Region,Rockbank
MULTIPOLYGON,1,31,Metropolitan Region,Rosanna
